quote,author,source
“How could someone possibly be that beautiful? She wondered for the hundred thousandth time. What higher power orchestrated such a perfect union of genes? Who decided that one single solitary soul deserved skin like that? It was so fundamentally unfair.(Chasing Harry Winston)”,Lauren Weisberger,
"“...much theological discussion is wasted, not because the words used have no possible meaning, but because the people who use them don't mean anything by them.”",Rosemary Haughton,The Transformation of Man
“Good authors worry about genres great authors don't.”,Frank Gaspar,
“Do you know where your breakthrough begins? Your breakthrough begins where your excuses ends.”,Patience Johnson,Why Does an Orderly God Allow Disorder
"“If you want to bring the world closer to peace, be a peacemaker by creating peace whenever you can. If you find yourself engaged in an argument that only stirs anger in the heart, quickly make peace and carry on.”",Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
“Expressing doubt is how we begin a journey to discover essential truths.”,Kilroy J. Oldster,Dead Toad Scrolls
"“Almost all arguments for skepticism make reference to seemingly ridiculous possibilities—we are being deceived by an evil demon, life is just a dream, we are brains in vats. You might propose psychoanalysis, rather than philosophical reflection, for anyone who worries about these possibilities.”",Richard Feldman,
“Your fangs aren't as sharp as your tongue.”,Anthony T.Hincks,
"“The moon will light the clouds, just as the tide shall shape the sand.”",Anthony T. Hincks,
"“Freedom is an absolute state, there is no such thing as being half-free.”",Daniel Delgado F,
"“I was at ease in everything, to be sure, but at the same time satisfied with nothing. Each joy made me desire another. I went from festivity to festivity. On occasion I danced for nights on end, ever madder about people and life. At times, late on those nights when the dancing, the slight intoxication, my wild enthusiasm, everyone’s violent unrestraint would fill me with a tired and overwhelmed rapture, it would seem to me—at the breaking point of fatigue and for a second’s flash—that at last I understood the secret; I would rush forth anew. I ran on like that, always heaped with favors, never satiated, without knowing where to stop, until the day -- until the evening rather when the music stopped and the lights went out.”",The Fall,
“Those who do not think bout the future cannot have one.”,Michael J. Kami,
“Ignore a person kill the person.”,M.Azeem Talib,
"“All men have their frailties; and whoever looks for a friend without imperfections, will never find what he seeks.”",Cyrus the Great,
"“Self-discipline is a form of freedom. Freedom from laziness and lethargy, freedom from expectations and demands of others, freedom from weakness and fear -- and doubt.”",H. A. Dorfman,
“Life is like yoga; the only way you can enjoy it is by relaxing into any position you happen to find yourself in.”,Jon Wakeham,Troubled Waters
"“Even though people about us choose the path of hate and violence and warfare and greed and prejudice, we who are Christ's body must throw off these poisons and let love permeate and cleanse every tissue and cell. Nor are we to allow ourselves to become easily discouraged when love is not always obviously successful or pleasant. Love never quits, even when an enemy has hit you on the right cheek and you have turned the other, and he's also hit that.”",Clarence Jordan,The Substance of Faith: And Other Cotton Patch Sermons
"“I tried to think the same thought in as many different religions as possible, so the thought itself wouldn't be limited by any particular way of reasoning, the way words restrict -- the whole eskimo-seventeen-words-for-snow idea.”",Patricia Geary,Strange Toys
"“On the one hand, all truth is relative; on the other hand, postmodernism tells it like it really is.",Stephen Hicks,
"“When you close your eyes and you feel the color, that is when you know that love has entered your heart.”",Anthony T.Hincks,
"“When you kiss me,",Anthony T Hincks,
"“Choose to hustle now, to work hard now, to make all the sacrifice now. So that you can enjoy your tomorrow. Whatever it is that you suppose to do now. If you don't do it now, it will affect you badly for the rest of your life.”",De philosopher DJ Kyos,
“Cemeteries used to be nice and quiet. Now they're teeming with life.”,Anthony T. Hincks.,
"“Any person who, with all the sincerity of heart, is in search for God, on land or in the sea, is worthy of respect.”",Riaz Ahmed Gohar Shahi,The Religion of God
"“What a paradox it is, the sane causes more problems than the insane! It is! The real problems of the world do not come from the insane but, the sane!”",Ernest Agyemang Yeboah,
"“Fate is the same for the man who holds back, the same if he fights hard.",Richmond Lattimore,
"“We are seeds as well as parasites to the earth. We can either give or take, depending on our perception of growth.”",Zephyr McIntyre,
“What's the survival value of obsessing on a sunset?”,Peter Watts,Blindsight
“Such Excessive Preoccupation With The Faults Of Others Only Manages To Bring The Spotlight To Shine Bright On Whatever It Is You May Have Hiding Behind All Your Self Perceived Glory.”,Marcie Leeper,
"“MIGHT, something God only has.”",A Gentlemen,
"“You cannot be buried in obscurity: you are exposed upon a grand theater to the view of the world. If your actions are upright and benevolent, be assured they will augment your power and happiness.”",Cyrus the Great,
"“Cinta memperindah hidup kita sebab pengalaman cinta pada dasarnya indah dan memperindah seluruh semesta. Mencintai seseorang atau sesuatu berarti mengabdikan yang tidak abadi, memuliakan yang tidak bermoral, meninggikan yang rendah, dan memperindah yang buruk rupa. Apapun yang terlihat oleh mata yang menatap penuh cinta selalu kelihatan cantik, selalu indah di mata - Pitirim Sorokin”","A.M. Kirch ",Anatomi Cinta
"“If the rest of your brain were conscious, it would probably regard you as the pointy-haired boss from Dilbert”",Peter Watts,Blindsight
"“Islam deals not only with what man must and must not do, but also with what he needs to know. In other words, Islam is both a way of acting and doing things and a way of knowing.”",Osman Bakar,Tawhid and Science
"“Marriage can be made to work if both the partners can see beyond themselves and understand the limitations,needs and abilities of the other person and are willing to embrace the positive and negative aspects of each other in their understanding.",Chitralekha Paul,Delayed Monsoon
“Faith is not belief in spite of evidence but a life in scorn of the consequences.”,Clarence Jordan,The Substance of Faith: And Other Cotton Patch Sermons
“Sublime natures are seldom clean!”,Longinus,Longinus on the Sublime: The Greek Text
“Nat: Maybe you broke something.,Herb Gardner,I'm Not Rappaport
“We see a lot of feature-driven product design in which the cost of features is not properly accounted. Features can have a negative value to customers because they make the products more difficult to understand and use. We are finding that people like products that just work. It turns out that designs that just work are much harder to produce that designs that assemble long lists of features.”,Douglas Crockford,JavaScript: The Good Parts
"“When two creatures meet, the one that is able to intimidate its opponent is recognized as socially superior, so that a social decision does not always depend on a fight; an encounter in some circumstances may be enough.”",Hediger,
"“¿A qué se reduce, pues, el progreso? Progresa la ciencia, progresa la técnica. El hombre de nuestros días maneja técnicas cuyos fundamentos ignora, pero cuyos resultados aprovecha. La pseudo-doctrina del progreso diviniza el futuro y espera el advenimiento de un estado perfecto. En una época que no se precisa, la historia universal de la humanidad habrá resuelto todos sus problemas. Lo que cuenta es el hombre futuro. Las generaciones presentes son simples eslabones sin ninguna finalidad propia. El presente se evapora en aras de un progresismo inocente y filisteo.”",Agustín Basave Fernández del Valle,Tratado de metafísica: teoría de la habencia
"“This intriguing 'somewhere else,' where intelligence no longer matters and awareness melts away, commands us to cherish our remains of innocence -- because of all the characteristics of human nature, the richest by far is passion for the perfectly useless.”",Hans Silvester,Into the Wind: The Art of the Kite
“Life is what you portrait it!”,Mohammad Hossein Khosh Bayan,
“I man is a prisoner of only his own mind.”,Michael Hawkins,
“If i had it all to do again there would be more bodies.”,Phil Baker,
"“We awaken by asking the right questions. We awaken when we see knowledge being spread that goes against our own personal experiences. We awaken when we see popular opinion being wrong but accepted as being right, and what is right being pushed as being wrong. We awaken by seeking answers in corners that are not popular. And we awaken by turning on the light inside when everything outside feels dark.”",Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
"“True beauty is measured by the number of pearls within you, not those around your neck.”",Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
“You don't need to look at the beauty to feel the love.”,Anthony T.Hincks,
“To lovers there.,De philosopher DJ Kyos,
