quote,author,source
“What's the use of complaining about something you have no intentions of changing it?”,Mario L Castellanos,
"“Some way some how i'm going to be happy i'm going to laugh i'm going to prosper,i feel good that i remain positive thru these mess up times!!!”",jojo1980,
"“Allaah subhanahuu, rejects those who refused Allaah’s Shareeah; the laws that are good for the Muslims; the laws that forbid what is evil. Allaah rejects those who follow laws of personal desires and who adopt laws of Kufr such as the laws enforced by the Tartars who were under the control of Gengiz Khan, their king. These laws were﻿ a mixture of Judaism, Christianity and laws chosen by their king that suited his desires. Should we prefer these laws to the Sharee`ah of Allaah and His Prophet (sallallahu alaihi wa sallam)?”",Ibnu Katsir,Tafsir Ibnu Katsir
"“Be a life long or short, its completeness depends on what it was lived for.”",David Starr Jordan,
"“…questioning the existence of God may begin because of one’s sense of disappointment rather than because of a line of reasoning. Disappointment can bring disillusionment, and disillusionment can get quite a grip on us. It may be the case that, next to the grip of disillusionment, whatever reasons we can think of to believe that God exists or that God is good will appear weak. So sometimes the reason we do not believe or the reason we stop believing is not the intellectual challenge to believing in God. Sometimes, the grip of disillusionment cannot be matched by things that seem to be only abstract or theoretical.”",Gregory E. Ganssle,Thinking about God: First Steps in Philosophy
“Animals are irrational men”,Safir Kassim Booudjelal,
"“So many other planets & stars -- could all those stars set over barren planets, beauty wasted? Or, are sunsets witnessed throughout the universe?”",Self,
"“I think, therefore a single fertilized egg cell can replicate itself into trillions of specialized and exquisitely organized cells.”",Self,
“И на съвършените съвършенството е несъвършено. Св. Иоан Лествичник”,Преподобный Никодим Святогорец,Невидимая брань
"“Part of being of a true existentialist is wanting to be what we make ourselves be by the way we choose to act, as opposed to making excuses for the way we act and regretting it.”",Gary Cox,"How to Be an Existentialist: or How to Get Real, Get a Grip and Stop Making Excuses"
"“If you write in the Old World, and against it, your work must die, go missing, be veiled, before it can live the life for which it was destined in the New World.”",Patrick Nowell-Smith,
“Mereka yang berani adalah mereka yang telah berkorban menemukan dirinya sendiri”,Ikbal Maulana,
"“There is no such thing as objectivity. We are all just interpreting signals from the universe and trying to make sense of them. Dim, shaky, weak, static-y little signals that only hint at the complexity of a universe we cannot begin to understand.”",Bones The Doctor in the Photo,
“Let education kindle only those which are truly beneficial,Baron d'Holbach,
“Logika adalah keadilan dan dialektika adalah kebijaksanaan”,Cephy Hakim,
"“Sufficiently simple natural structures are predictable but uncontrollable, whereas sufficiently complex symbolic descriptions are controllable but unpredictable.”",Howard Pattee,
"“The Great Way is not named; Great Discriminations are not spoken; Great Benevolence is not benevolent; Great Modesty is not humble; Great Daring does not attack. If the Way is made clear, it is not the Way.”",Chuang Chou,
“Great understanding is broad and unhurried; little understanding is cramped and busy. Great words are clear and limpid; little words are shrill and quarrelsome.”,Chuang Chou,
"“‎In modern physics, there is no such thing as ""nothing."" Even in a perfect vacuum, pairs of virtual particles are constantly being created and destroyed. The existence of these particles is no mathematical fiction. Though they cannot be directly observed, the effects they create are quite real. The assumption that they exist leads to predictions that have been confirmed by experiment to a high degree of accuracy.”",Richard Morris,
“The evolution revolution is here. Global sense makes common sense.”,Judah Freed,GLOBAL SENSE
"“Truth, says instrumentalism, is what works out, that which does what you expect it to do. The judgment is true when you can ""bank"" on it and not be disappointed. If, when you predict, or when you follow the lead of your idea or plan, it brings you to the ends sought for in the beginning, your judgment is true. It does not consist in agreement of ideas, or the agreement of ideas with an outside reality; neither is it an eternal something which always is, but it is a name given to ways of thinking which get the thinker where he started. As a railroad ticket is a ""true"" one when it lands the passenger at the station he sought, so is an idea ""true,"" not when it agrees with something outside, but when it gets the thinker successfully to the end of his intellectual journey.",Holly Estil Cunningham,An Introduction to Philosophy
"“Among peoples who possess a highly developed pugnacious instinct we find the greatest progress in the arts, sciences, social and political organization, commerce and industry. The instinct takes the milder form of rivalry which is the motive force of the great portion of the serious labors of mankind.”",Holly Estil Cunningham,An Introduction to Philosophy
"“It is a well known fact that even among highly cultured peoples the belief in animism prevails generally. Even the scholar may kick the chair against which he accidentally stumbles, and derive great satisfaction from thus 'getting even' with the perverse chair.”",Holly Estil Cunningham,An Introduction to Philosophy
"“…it can hardly be over-exaggerated that speculative thinking is always drawn from the necessities of the time, that it is always practical, that it always shifts with the interests of the times, with the changes of social, economic, and political conditions, and finally, that it is vain to hope to find an",Holly Estil Cunningham,An Introduction to Philosophy
“A doctrine of,Holly Estil Cunningham,An Introduction to Philosophy
“Empiricism teaches that there is a real world of fixed things on the outside and that ideas of these outside things are stamped on the mind which is at the beginning of life a blank.”,Holly Estil Cunningham,An Introduction to Philosophy
"“…let us point out precisely the difficulties of empiricism as a theory of knowledge. First, it begins with two",Holly Estil Cunningham,
“Philosophers console themselves with explanations.”,Marty Rubin,
"“No art takes places without inspiration. Every artist also needs effective knowledge of his or her tools (e.g., does a certain brush function well with a particular kind of paint?). What’s more, artists need effective techniques for using those tools.",H. E. Davey Japanese Yoga: The Way of Dynamic Meditation,
"“I can blend words easily with my pen, and show concepts from deep within. Yet not everyone gets the message I send. So why do I even let these words begin? Maybe they will soak in one day at the right time. When the readers on a new path to find. So for now I'll continue to drop ink and not worry about what other people think.”",Stanley Victor Paskavich,
"“Humankind has accumulated generation upon generation of knowledge, the culmination of which is the vast and useful technological array we see everywhere in modern society. Despite this great accumulation of knowledge and technology, we still suffer from starvation and war. The difference between the past and the present is the difference between throwing rocks and shooting missiles. We are still in conflict. Suffering on a fundamental level hasn’t ceased. But we nevertheless persist in the notion that if we just amass a bit more knowledge, we’ll all be o.k. Maybe a new philosophy will do the trick, or a new system of government. But all of this has been tried many times.",H.E. Davey,Japanese Yoga: The Way of Dynamic Meditation
“This only is denied to God: the power to undo the past.”,Agathon,
“It's a sad day for American Capitalism when a man can't fly a midget on a kite over central park.”,Jim Moran,
"“What never fails inside the mind of an intellectual never works outside the confines of his head. The world’s stubborn refusal to vindicate the intellectual’s theories serves as proof of humanity’s irrationality, not his own. Thus, the true believer retrenches rather than rethinks; he launches a war on the world, denying reality because it fails to conform to his theories. If intellectuals are not prepared to reconcile theory and practice, then why do they bother to venture outside the ivory tower or the coffeehouse? Why not stay in the world of abstractions and fantasy?”",Daniel J. Flynn,Intellectual Morons: How Ideology Makes Smart People Fall for Stupid Ideas
"“Particularity leads to peculiarity and then to pathological behavior. The three Ps. It is very insidious. You would eventually end up in a box. If you try to control your environment, it will control you. And everyone else around you will always have to be making adjustments to your maddening idiosyncracies...You are beginning to enslave yourself with your fussiness.”",Susan Trott,
"“I tried to make my life colorful with basic colors Red, Green and Blue....... ohh god... my perfection in blending made it white !!! now again confused…. should go with :( or :)”",Saket Assertive,
"“The ruinous abdication by philosophy of its rightful domain is the consequence of the oblivion of philosophers to a great insight first beheld clearly by Socrates and re-affirmed by Kant as by no other philosopher. Science, concerned solely and exclusively with objective existents, cannot give answers to questions about meanings and values. Only ideas engendered by the mind and to be found nowhere but in the mind (Socrates), only the pure transcendental forms supplied by reason (Kant), can secure the ideals and values and put us in touch with the realities that constitute our moral and spiritual life. Twenty-four centuries after Socrates, two centuries after Kant, we badly need to re-learn the lesson.”",D. R. Khashaba,
"“Call it ""a wonder"" or ""a mystery"" and you have an excuse to never try understanding it - an excuse to not take responsibility for it. People knew about love no more than they knew about Science, but at least most did not jump into Science headstrong, with the hope that they would figure it out as they went, or that some ""mysterious"" inborn trait would take care of it.”",Lynna Merrill,The Seekers of Fire
"“Identifying the flaw in the US philosophical roots requires that we move beyond the intellectual and emotional climate in which the Constitution was conceived and adopted. The meanings of concepts and words change with use, and even the Supreme Court has admitted that the original perspective of the American social contract has been altered by the passage of time.”",David E. Wilkins,The Legal Universe: Observations of the Foundations of American Law
"“Seduced by the spectacular theoretical and practical successes of the objective sciences into thinking that the methods and criteria of those sciences were the only means to truth, philosophers sought to apply those same methods and criteria to questions relating to the meaning of life and the values that give meaning to life. Philosophy, especially the Analytical species prevalent in the English-speaking world, was broken up into specialized disciplines and fragmented into particular problems, all swayed and impregnated by scientism, reductionism, and relativism. All questions of meaning and value were consigned to the rubbish heap of 'metaphysical nonsense'.”",D. R. Khashaba,
“Faith in Qur'anic revelation unveils all the possibilities that lie before the human intellect.”,Osman Bakar,Tawhid and Science
“The unity of scientific and spiritual knowledge is realized when each of the particular sciences is organically related to the supreme knowledge of al-tawhid.”,Osman Bakar,Tawhid and Science
"“To the extent that in one's act of faith one participates in the truth through reason and heart, faith already implies a particular level of knowledge and of certainty.”",Osman Bakar,
"“Rationalism is false not because it seeks to express reality in rational mode, so far as this possible, but because it seeks to embrace the whole of reality in the realm of reason, as if the reason coincides with the very principle of things.”",osman bakar,
"“Tis the wink of an eye, 'tis the draught of a breath,",William Knox,
“Flow is the best of what happens when potential is activated by consciousness.”,Dew Platt,The Rudeness of Soul
"“While it was well within their powers to toy around with mortals like hapless puppets, deeper human workings remained elusive to them. The heart, the soul, the very foundation of man’s nature—those were mysteries to the gods, for all their manipulations.”",Hayden Thorne,Arabesque
"“For an act to be evil, you must first perceive it, process and then conceive it as such. Then these acts are effects. They’re not causes. And by this I mean that these acts are not of Stream. Now we ask the other question again. What does it take for something, here specifically Stream, to be good or evil?”",Dew Platt,The Rudeness of Soul
“This causation exists as a streamed organization of constantly fluid potential. Anything that can be must first hold the streaming potential to be. It is soul.,Dew Platt,The Rudeness of Soul
“Mortals are odd creatures in that sense—flawed yet hopeful. One can study them through millennia and still get nowhere near full understanding of their nature.”,Hayden Thorne,Arabesque
"“It is impossible for Stream to achieve unhappiness. Indeed it is. Unless that is, it exists in consciousness. It is impossible for the unordered to achieve happiness or unhappiness unless it were to Flow a certain way in relation with ordered effects.Unhappiness, happiness is a potential activated by the ordered in Flow.”",Dew Platt,The Rudeness of Soul
"“One salutary development in recent ethical theorizing is the widespread recognition that no short argument will serve to eliminate any of the major metaethical positions. Such theories have to weave together views in semantics, epistemology, moral psychology and metaphysics. The comprehensive, holistic character of much recent theorizing suggests the futility of fastening on just a single sort of argument to refute a developed version of realism or antirealism. No one any longer thinks that ethical naturalism can be undermined in a single stroke by the open question argument, or that appeal to the descriptive semantics of moral discourse is sufficient to refute noncognitivism.”",Russ Shafer-Landau,
"“Rudeness instantly establishes a set of norms, a set of regulatory orders, authority, and power. To be rude is to go against an established accepted concept or ordered regulation. Thus rudeness could be in kind, a deviation from the norm. Rudeness can also be in kind an instantiation outside a set foundation. A deviation from a norm holds the same set foundation as the norm, their disagreement merely a manner of degrees.”",Dew Platt,The Rudeness of Soul
"“There is ascension to potential that Plato couldn’t conceive while prescribing idealism to conception as highest existences. With Streams, there isn’t a difference between ideas and instantiations. They are both authenticated within all possibilities in Stream, within the Primal Cause as ordered. Ideas as ordered constructs in consciousness, instantiations as ordered effects.",Dew Platt,The Rudeness of Soul
"“When Coleridge tried to define beauty, he returned always to one deep thought; beauty, he said, is unity in variety! Science is nothing else than the search to discover unity in the wild variety of nature,—or, more exactly, in the variety of our experience. Poetry, painting, the arts are the same search, in Coleridge’s phrase, for unity in variety.”",Bronowski,
“Rousseau identified reason as the disease for which it pretended to be the cure.”,Robert Zaretsky,
“For Christians . . . an unreflective faith is not possible if we take seriously the injunction to love God with the mind as well as the heart and soul.”,Delwin Brown,"What Does a Progressive Christian Believe?: A Guide for the Searching, the Open, and the Curious"
“To lovers out there …,De philosopher DJ Kyos,
"“Don't let your impostors be superior, for their deceitfulness will be buried in a bottomless ocean that is made with fire.”",Daniel Linn Lewis,
“Wisdom lies not in analyzing the obvious but rather in ignoring it.”,Nadine Sadaka Boulos,
“In this lifetime,Meeta Ahluwalia,
"“If you choose to always mind other people business. You will end up not having any business of your own to mind. If you choose to concentrate on other people lives , you will end up, not having a life at all.”",De philosopher DJ Kyos,
“To lovers out there ...,De philosopher DJ Kyos,
"“Do you know those people who will do you wrong and you will be patient with them to change. Until you had enough and cant take it anymore. Then they still shout at you saying , you were pretending all along , You didn’t love them and now you have changed.”",De philosopher DJ Kyos,
"“The biggest problem Africa has , it is not poverty or economy, lack of resources or infrastructure, lack of technology or slavery , but it is African leaders.”",De philosopher DJ Kyos,
"“Governments may think and say as they like, but force cannot be eliminated, and it is the only real and unanswerable power. We are all told that the pen is mightier than the sword, but I know which of these weapons I would choose.”",Adrian Carton de Wiart,
"“We live in days where people don’t care if your wrong or right,",De philosopher DJ Kyos,
“If you don't use it.,De philosopher DJ Kyos,
"“Find out, what are the things that money can’t buy?",De philosopher DJ Kyos,
"“Toxic people choose to judge you and treat you bad, based on their assumptions and perceptions they have about you, not based on what you did or said. You will defend yourself to people whom you will never be right. It is not what you did, but it is what they think of you.”",De philosopher DJ Kyos,
“What is your type of Magick ¿,Snow Liber Dionysus,
"“People will publicly and on social media judge you on the very same things they do privately, to find they are even worse than you. Choose to fight your own demons and battles, rather than judging others on the very same things you are struggling with yourself. Don’t make yourself a better person by mocking and ridiculing others, especially if they are less fortunate than you.”",De philosopher DJ Kyos,
"“If you can't even tell which hand the coin is in, what makes you think you know anything else?”",Nikolas Jintri,
“Black Friday,De philosopher DJ Kyos,
"“...but if you think that only which is your own to be your own, and if you think that what is another’s, as it really is, belongs to another, no man will ever compel you, no man will hinder you, you will never blame any man, you will accuse no man, you will do nothing involuntarily (against your will), no man will harm you, you will have no enemy, for you will not suffer any harm.”",Epicetus,
"“You are always going to be in a herd no matter how much you want to stand out, or blend in... but no matter where you are.. its important to know who you are..”",Urbanky Aurel Petru,
“The hand I write with is the hand that defeats me.”,Jordan G Kobos,
“Maybe everything you tried has failed.,De philosopher DJ Kyos,
"“Magic is the most philosophical performing art, because — like philosophy — it replaces the illusion of knowledge with the knowledge of illusion.”",Nikolas Jintri,
"“Respect those who esteem your integrity, disdain those who carrying-on dishonesty against your hospitality.”",Daniel Linn Lewis,
"“Be kind to everyone, rude to none.”",Debasish Mridha MD,
“Think that you might be wrong.”,Unknown,
"“Being a celebrity or to work in an entertainment industry is hard because you don’t have a personal life. Some people have work life and private life, but you don’t have that.You are accountable even for the things you do on your private personal time.”",De Philosopher DJ Kyos,
"“People who are being abused, who accept the abuse and see nothing wrong about it. End up abusing others.”",De philosopher DJ Kyos,
“To lovers out there ….,De philosopher DJ Kyos,
"“I want In the Wake to declare that we are Black peoples in the wake with no state or nation to protect us, with no citizenship bound to be respected, and to position us in the modalities of Black life lived in, as, under, despite Black death: to think and be and act from there.”",Christina Sharpe,In the Wake: On Blackness and Being
"“Everything passes, but everything remains. This is a cherished thought for me, that nothing goes away for ever, nothing is lost, but somehow, somewhere, stays. Its worth remains, although we cease to perceive it. And our labors, even if everyone forgot about them, remain and somehow give their fruits. And for this reason, although I regret the past, there is a living sense of its eternity. I did not part with them eternally, but only in time. And it seems to me that all people, whatever they might think, feel the same in the depth of their souls. Without this, life would become senseless and empty.”",Pavel Florensky,Letters from the Gulag
“For all the pain you felt. All the disappointment you came across.,De philosopher DJ Kyos,
"“Apathist is a someone who understands his limitations and the current situation, accepts them, works with what he knows on what he gets, doing his best and being content with that alone irrespective of the ultimate outcome. He will not indulge in exploring other philosophical positions for he will always be anchored by his strong sense of realism unwaveringly committing himself to it. He is not afraid or ashamed of saying that he does not care when the topic delves into theology or supernaturalism for his knowledge roots him to the present moment, as limited as it maybe. This knowledge is however functional. As a consequence, he lives in a state of apathia and ataraxia which are his ultimate goal. To him, what does not affect his present reality need not be dwelled upon.”",Bana,99 Days
“Never deprive your God-given philosophy that could metamorphose your Emotional pressure for competence in saintlike-Glory. There's greatness in all of us that breaths innovatory fire.”,Daniel Linn Lewis,
"“When those who show uncertainty in others, they really do disrelish themselves in ignominy.”",Daniel Linn Lewis,
"“Our minds are more mightier than our verbal expressions. Never doubt those who have the emasculated minds, they could potentially have the strongest, predominate knowledge, superior intelligence, and vivid clarity.”",Daniel Linn Lewis,
"“Our minds are more mightier than our verbal expressions. Never question those who have emasculated minds, they could potentially have the strongest grip of superior knowledge and intelligence.”",Daniel Linn Lewis,
“Wo liegt die Grenze zwischen Liebe und Besessenheit?”,Valentina Maria,
“A philosopher who denies free will is like an astronomer who denies the stars.”,Marty Rubin,
"“Most business or companies are closed, and some lose clients or customers , because they think they are smart. They become greedy and start cheating their customers taking advantage of their loyalty to them. If want a successful business, be fair to your clients or customers.”",De philosopher DJ Kyos,
"“The great myth of the free gaze, which, in its fidelity to discovery receives the virtue to destroy; a purified purifying gaze; which freed from darkness, dissipates darkness.”",Foucault Michel,
"“People need to show expectancy, not disapproval; too those who walk in a different kind of hospitality. If they choose to live a marvelous life, be honor-bound by their choice and commitment. Not everyone is gonna follow in your same identical footsteps; that's why you need to teach them to follow in their own purpose-built direction.”",Daniel Linn Lewis,
“The silent person is the strongest person if he/she takes the chance .”,Saikiran Kandagatla,
"“Greathearted leaders are procreated to provide others with generosity, hospitality, and friendliness. I truthfully believe we need more integrity and responsibility like that in this troublesome World.”",Daniel Linn Lewis,
"“The nature of this unscrupulousness creation is becoming more inhumanly depraved by the manipulated works of failed administrations that betrothed humankind to turn entirely divided, profoundly loathsome, fundamentally radical, and entirely discriminate. It's not about being a Democrat, or a Republican, or finding power in one Political side; it's about being an American who cares about freedom, liberty, and independence for all! We should all be ashamed for hating each other.”",Daniel Linn Lewis,
"“If a person describes themselves as a appreciable person, why do they still show signs of inconsideration, aggression, and disregard other peoples ideology? I mean, are people really that unintelligent by their own disrespectful ways of thinking?”",Daniel Linn Lewis,
“I can't work with idiots. That's why I work from home and got rid of all the mirrors.”,Anthony T. Hincks,
“The morning was meant for you and me.”,Anthony T. Hincks,
“To lovers out there …,De philosopher DJ Kyos,
“I see because I can.”,Ankit Samrat,
“Foundations are meant to be built and walls are meant to be pulled down.”,Anthony T. Hincks,
“Greathearted leaders are procreated to overthrow trepidation.”,Daniel Linn Lewis,
“And one day we get addicted to our loneliness.”,Avijeet Das,
“Be a wildflower among the fake ones!”,Avijeet Das,
"“Wandering aimlessly, I love the thrill of unknown paths. I am a nomad. I am a wanderer. I am a drifter. Why do I keep on drifting? Yes, I wish I knew why? I am not aware of the reason myself. Why do I keep on drifting?”",Avijeet Das,
"“The philosophy of a critic or historian can be described not only in terms of what he perceives, but also in terms of what he fails to see.”",Bonta,
"“This Halloween, let the candy do the scaring.”",Anthony T. Hincks,
“The moon hides more secrets than the FBI.”,Anthony T. Hincks,
“NASA gives you the freedom to dream.”,Anthony T. Hincks,
“The problem about government and its employees . It is that they all work like they are doing people favors and is not their job to serve people. They want people to beg them and to pay them to do what they are employed to do. That is why it is easy for them to do corruption than to do what they are employed to do.”,De Philosopher DJ Kyos,
"“Every time there is a protest or a march. They will be instigators and opportunist. Not everyone who is here, is on our side and is supporting what we are fighting for.”",De philosopher DJ Kyos,
"“The Naurithiquent is like a flame. He is neither good nor bad, neither nice nor rude, neither generous nor cruel. He is, in fact, the perfect balance of two opposite sides. Many may think him weird, think him stupid, yet, the ones that know him the best, describes him as the boldest and fieriest of all.”",Naurithiquent the Fiery,
“Know about the distance between the head and the heart?,Muheet Mehraj,
"“Don’t you mind dying, sir?” the consul asked. “Forgive me a little lofty talk,” van Gulik said, “but all movement is illusory. From Seoul to",Janwillem van de Wetering Robert van Gulik: His Life His Work,
“The philosopher Ludwig Wittgenstein said 'Everything that can be said can be said clearly.' But I think we know what he meant.”,John Alejandro King a.k.a. The Covert Comic,
"“Red tapes sometimes are put to save you from harm or danger, but sometimes are put to stop you from being powerful and successful. Most red tapes are put on information and knowledge ,because they know if you know what they know. They wont be able to stop you or to control you. Learn to distinguish these red tapes, because your success depends on it.”",De philosopher DJ Kyos,
"“Everyone says is it is easy, because you are doing it. When their turn comes to do it. They say it is impossible and it can't be done. Talk is cheap, that is why everyone saying what they are saying, but they can't do what they are saying. Choose not to listen to people who discourage you and those who undermine your efforts or hustle, because most of them talk, but they have no clue what they are talking about and what does it take to do what you are doing.”",De philosopher DJ Kyos,
"“Every time, when you see people in Africa suffering, bleeding, being killed, kidnapped, slaved, raped, human trafficked and being poor. It is because of African leaders. In Africa we are being killed by our leaders.”",De philosopher DJ Kyos,
“In Africa we are being killed by our leaders.”,De philosopher DJ Kyos,
"“Abantu abathanda indaba zabantu. Abazithandi bona. Ngoba indaba zabantu soze zikusize ngalutho, futhi soze zilungise impilo yakho.”",De philosopher DJ Kyos,
"“Politicians are busy changing positions of people who are stealing or people who are corrupt, but are not changing the behavior of stealing or behavior of corruption. It seems like stealing from the poor people to enrich themselves or to be corrupt is their core mandate.”",De philosopher DJ Kyos,
“Having a valid reason why you commit crime. It doesn't make it right to commit crime and it doesn't take away the fact that doing crime is wrong and is not allowed.”,De philosopher DJ Kyos,
“Sad thing about most people who are ruining the country to be in a bad state. Can afford to runaway and live in another country when things goes wrong or bad in the country they are ruining.”,De philosopher DJ Kyos,
“To know someone else you first have to know yourself,rassool jibraeel snyman,
“Prejudice is committed easiest when it is by you against others but not the converse,rassool jibraeel snyman,
“To walk in someone else's shoes means that you have to leave your prejudiced shoes behind,rassool jibraeel snyman,
“Judging someone without walking in their shoes is the grossest misjudgment that one can make,rassool jibraeel snyman,
“Those who cannot see life through the eyes of others have no empathy just pity,rassool jibraeel snyman,
“Its not what you think that makes you who you are its what you do about it that defines you,rassool jibraeel snyman,
"“I don't know what it is that you expect of me, but we're here.",Kaelyn Rene,
"“Don't let the world change your kind heart, let your kind heart change the world.”",Debasish Mridha MD,
“And then one day the pigeon,Avijeet Das,
"“Opportunities comes like a thief at night. You never know when they are coming, but you need to be always ready. Be ready with your CV, qualifications, experience, talent and skills. Don’t rest but prepare yourself.",De Philosopher DJ Kyos,
“The art of listening to the world has been lost throughout the ages.”,Anthony T. Hincks,
“Stars forever twinkle in my heart.”,Anthony T. Hincks,
"“The ""convinced"" reason of itself is the principle of all ""illustrated"" ignorance. There are those poor fools who prefer to assume that they already know everything, for fear of accepting that ""not knowing"" is the eternal human condition. Knowing that nothing is known is the principle of all wisdom.”",Geverson Ampolini,
“Your life won't start if you don't.”,Azra Gregor,
“To lovers out there …,De philosopher DJ Kyos,
"“True salvation consists of the coexistence of the phenomenal content of the mind, such as ordinary thoughts and feelings, with the background screen of pure consciousness as no-mind or the void of conceptions.”",William S. Haney II,"Cyberculture, Cyborgs and Science Fiction: Consciousness and the Posthuman"
"“As children, learn good manners.",Clearchus,
“Smiles are just like plants.,Anthony T. Hincks,
